,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300682.SZ,20200228,26.8,27.47,26.01,26.22,27.84,-1.62,-5.819,86602.13,230386.884
1,300682.SZ,20200227,28.25,28.69,27.2,27.84,28.03,-0.19,-0.6778,76272.42,213926.567
2,300682.SZ,20200226,29.4,29.4,27.81,28.03,30.08,-2.05,-6.8152,117055.31,333241.054
3,300682.SZ,20200225,29.83,30.59,28.34,30.08,30.99,-0.91,-2.9364,112358.38,334705.07
4,300682.SZ,20200224,30.8,31.75,30.68,30.99,30.57,0.42,1.3739,113965.27,355215.439
5,300682.SZ,20200221,29.0,31.09,28.61,30.57,29.04,1.53,5.2686,121132.56,364470.918
6,300682.SZ,20200220,29.14,29.4,28.16,29.04,29.14,-0.1,-0.3432,91859.13,265019.362
7,300682.SZ,20200219,30.1,30.96,29.12,29.14,30.78,-1.64,-5.3281,110474.59,328882.191
8,300682.SZ,20200218,29.9,31.29,28.61,30.78,29.13,1.65,5.6643,148850.68,448222.728
9,300682.SZ,20200217,27.11,29.15,27.11,29.13,27.07,2.06,7.6099,118523.67,338397.453
10,300682.SZ,20200214,27.6,27.87,26.87,27.07,27.3,-0.23,-0.8425,78696.2,214694.677
11,300682.SZ,20200213,28.19,28.25,27.0,27.3,27.99,-0.69,-2.4652,84988.26,234698.915
12,300682.SZ,20200212,27.52,28.35,27.11,27.99,27.17,0.82,3.018,96765.69,270552.225
13,300682.SZ,20200211,29.0,29.07,27.05,27.17,28.35,-1.18,-4.1623,95615.37,263614.395
14,300682.SZ,20200210,28.88,29.7,27.71,28.35,28.05,0.3,1.0695,127003.27,362094.564
15,300682.SZ,20200207,26.29,28.5,26.19,28.05,26.37,1.68,6.3709,148068.04,410751.623
16,300682.SZ,20200206,25.13,27.16,25.12,26.37,25.38,0.99,3.9007,148453.24,388717.348
17,300682.SZ,20200205,23.5,25.52,23.5,25.38,23.2,2.18,9.3966,126631.51,317893.706
18,300682.SZ,20200204,21.52,23.55,21.52,23.2,23.84,-0.64,-2.6846,111543.93,255722.717
19,300682.SZ,20200203,23.84,23.84,23.84,23.84,26.49,-2.65,-10.0038,8196.0,19539.264
20,300682.SZ,20200123,25.0,26.87,25.0,26.49,26.2,0.29,1.1069,159578.88,414422.148
21,300682.SZ,20200122,24.2,26.2,24.01,26.2,23.82,2.38,9.9916,169892.09,434424.097
22,300682.SZ,20200121,24.51,24.51,23.79,23.82,24.7,-0.88,-3.5628,52516.5,126175.206
23,300682.SZ,20200120,25.0,25.1,24.1,24.7,25.0,-0.3,-1.2,61022.98,149441.58
24,300682.SZ,20200117,25.38,25.58,24.83,25.0,25.6,-0.6,-2.3438,59047.9,148672.751
25,300682.SZ,20200116,24.54,25.78,24.43,25.6,24.55,1.05,4.277,97205.22,246205.103
26,300682.SZ,20200115,24.5,24.75,23.92,24.55,24.18,0.37,1.5302,57306.99,140160.949
27,300682.SZ,20200114,24.7,24.86,24.04,24.18,24.51,-0.33,-1.3464,43938.11,107260.303
28,300682.SZ,20200113,23.92,24.68,23.64,24.51,23.99,0.52,2.1676,58932.45,142605.577
29,300682.SZ,20200110,24.48,24.48,23.83,23.99,24.29,-0.3,-1.2351,39821.05,95792.564
30,300682.SZ,20200109,23.91,24.35,23.75,24.29,23.7,0.59,2.4895,54763.27,132285.158
31,300682.SZ,20200108,24.39,24.39,23.44,23.7,24.58,-0.88,-3.5801,74845.95,179099.123
32,300682.SZ,20200107,23.39,25.07,23.34,24.58,23.43,1.15,4.9082,105548.78,255914.748
33,300682.SZ,20200106,23.93,23.93,23.24,23.43,23.56,-0.13,-0.5518,58274.61,136901.083
34,300682.SZ,20200103,23.05,23.58,22.7,23.56,23.13,0.43,1.8591,57080.9,132376.229
35,300682.SZ,20200102,22.88,23.29,22.65,23.13,22.63,0.5,2.2095,40642.75,93779.163
36,300682.SZ,20191231,22.34,22.71,22.34,22.63,22.5,0.13,0.5778,31682.09,71565.923
37,300682.SZ,20191230,22.49,22.67,21.92,22.5,22.64,-0.14,-0.6184,41805.85,93190.318
38,300682.SZ,20191227,23.15,23.28,22.59,22.64,23.27,-0.63,-2.7073,46415.92,106283.839
39,300682.SZ,20191226,23.06,23.33,22.87,23.27,23.11,0.16,0.6923,54923.84,126905.506
40,300682.SZ,20191225,21.72,23.37,21.72,23.11,21.69,1.42,6.5468,78639.17,179191.339
41,300682.SZ,20191224,21.38,21.8,21.26,21.69,21.3,0.39,1.831,21460.88,46197.701
42,300682.SZ,20191223,22.15,22.15,21.3,21.3,22.19,-0.89,-4.0108,39354.0,85138.074
43,300682.SZ,20191220,22.54,22.66,22.18,22.19,22.53,-0.34,-1.5091,34871.13,77946.669
44,300682.SZ,20191219,22.33,22.65,22.18,22.53,22.6,-0.07,-0.3097,46076.0,103375.036
45,300682.SZ,20191218,22.5,23.08,22.45,22.6,22.49,0.11,0.4891,57817.88,131441.093
