,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300793.SZ,20200228,42.0,42.69,39.79,39.93,44.14,-4.21,-9.5378,44844.48,184734.785
1,300793.SZ,20200227,43.36,44.28,43.13,44.14,43.11,1.03,2.3892,36267.21,158913.424
2,300793.SZ,20200226,45.2,45.8,43.0,43.11,46.31,-3.2,-6.91,52705.86,234808.739
3,300793.SZ,20200225,46.35,47.15,43.51,46.31,48.25,-1.94,-4.0207,77454.1,357194.342
4,300793.SZ,20200224,47.38,48.8,46.37,48.25,47.58,0.67,1.4082,81500.38,388590.214
5,300793.SZ,20200221,46.2,48.6,46.1,47.58,46.59,0.99,2.1249,82280.62,387703.415
6,300793.SZ,20200220,45.21,46.59,44.59,46.59,45.11,1.48,3.2809,51106.31,232635.628
7,300793.SZ,20200219,46.29,47.37,45.02,45.11,46.25,-1.14,-2.4649,62678.7,290328.961
8,300793.SZ,20200218,45.4,46.71,45.03,46.25,45.09,1.16,2.5726,57407.78,264032.463
9,300793.SZ,20200217,43.28,45.12,43.02,45.09,43.35,1.74,4.0138,50246.43,223356.46
10,300793.SZ,20200214,42.7,44.28,42.51,43.35,42.93,0.42,0.9783,37805.34,164567.827
11,300793.SZ,20200213,43.68,44.3,42.81,42.93,44.21,-1.28,-2.8953,48256.23,209188.513
12,300793.SZ,20200212,43.18,44.38,42.8,44.21,44.5,-0.29,-0.6517,48537.24,212505.019
13,300793.SZ,20200211,42.49,46.3,41.05,44.5,42.49,2.01,4.7305,73123.4,321053.494
14,300793.SZ,20200210,41.6,43.13,41.6,42.49,41.58,0.91,2.1886,34900.76,148007.612
15,300793.SZ,20200207,40.65,42.65,40.54,41.58,41.03,0.55,1.3405,44945.84,186924.966
16,300793.SZ,20200206,39.58,41.1,39.58,41.03,39.43,1.6,4.0578,51961.61,210392.562
17,300793.SZ,20200205,38.82,40.55,38.8,39.43,39.04,0.39,0.999,51319.06,204096.643
18,300793.SZ,20200204,37.46,39.87,37.46,39.04,41.62,-2.58,-6.1989,65193.66,252162.242
19,300793.SZ,20200203,41.62,41.62,41.62,41.62,46.24,-4.62,-9.9913,1791.0,7454.142
20,300793.SZ,20200123,49.6,50.02,45.22,46.24,50.03,-3.79,-7.5755,46424.1,221436.481
21,300793.SZ,20200122,50.0,50.79,48.3,50.03,50.23,-0.2,-0.3982,35022.78,173332.661
22,300793.SZ,20200121,50.25,51.52,50.15,50.23,50.53,-0.3,-0.5937,29106.34,147926.766
23,300793.SZ,20200120,50.02,51.0,49.29,50.53,50.59,-0.06,-0.1186,34344.83,172445.568
24,300793.SZ,20200117,53.38,53.39,50.55,50.59,53.63,-3.04,-5.6685,72987.1,377825.417
25,300793.SZ,20200116,52.0,53.99,51.9,53.63,52.49,1.14,2.1718,66434.68,351907.112
26,300793.SZ,20200115,51.66,53.24,51.5,52.49,52.06,0.43,0.826,41858.02,219240.555
27,300793.SZ,20200114,52.75,53.95,52.0,52.06,53.11,-1.05,-1.977,55727.61,294721.376
28,300793.SZ,20200113,52.81,53.89,52.66,53.11,52.7,0.41,0.778,56014.43,298213.298
29,300793.SZ,20200110,51.34,53.95,50.66,52.7,51.18,1.52,2.9699,75535.11,395978.03
30,300793.SZ,20200109,50.7,51.8,50.7,51.18,50.22,0.96,1.9116,39198.42,200644.353
31,300793.SZ,20200108,50.02,52.2,49.98,50.22,51.32,-1.1,-2.1434,53782.08,275187.745
32,300793.SZ,20200107,50.02,52.15,50.01,51.32,50.01,1.31,2.6195,54389.67,278854.855
33,300793.SZ,20200106,49.1,50.62,48.8,50.01,50.71,-0.7,-1.3804,44558.57,221648.222
34,300793.SZ,20200103,51.18,51.99,50.5,50.71,50.96,-0.25,-0.4906,61701.07,316306.246
35,300793.SZ,20200102,49.15,52.02,48.5,50.96,48.45,2.51,5.1806,74830.93,377866.687
36,300793.SZ,20191231,47.94,48.86,47.94,48.45,48.1,0.35,0.7277,35731.53,173260.588
37,300793.SZ,20191230,50.8,50.97,47.58,48.1,52.75,-4.65,-8.8152,92408.98,450614.928
38,300793.SZ,20191227,53.59,55.54,52.66,52.75,53.71,-0.96,-1.7874,93202.7,504802.215
39,300793.SZ,20191226,52.76,53.88,52.11,53.71,53.09,0.62,1.1678,72205.51,383167.173
40,300793.SZ,20191225,51.5,53.39,50.87,53.09,52.4,0.69,1.3168,71762.64,374444.634
41,300793.SZ,20191224,53.2,54.4,51.79,52.4,53.55,-1.15,-2.1475,63394.56,334528.254
42,300793.SZ,20191223,52.96,54.53,51.58,53.55,52.76,0.79,1.4973,70700.09,377796.511
43,300793.SZ,20191220,53.57,53.95,52.71,52.76,53.88,-1.12,-2.0787,54202.94,288253.482
44,300793.SZ,20191219,55.0,55.24,52.86,53.88,56.16,-2.28,-4.0598,90741.57,488437.456
45,300793.SZ,20191218,55.53,58.67,55.1,56.16,56.08,0.08,0.1427,136544.43,779275.048
46,300793.SZ,20191217,55.34,56.45,54.68,56.08,54.79,1.29,2.3544,102640.13,572319.939
47,300793.SZ,20191216,54.0,55.67,54.0,54.79,53.63,1.16,2.163,78094.26,428196.842
