,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300771.SZ,20200228,71.68,75.8,71.48,72.01,73.87,-1.86,-2.5179,29387.91,217405.815
1,300771.SZ,20200227,74.32,75.58,72.2,73.87,73.6,0.27,0.3668,16603.78,122923.294
2,300771.SZ,20200226,74.3,78.19,73.07,73.6,74.5,-0.9,-1.2081,30853.68,233748.355
3,300771.SZ,20200225,74.83,75.13,71.8,74.5,76.03,-1.53,-2.0124,30482.49,225188.047
4,300771.SZ,20200224,76.3,77.68,74.36,76.03,76.25,-0.22,-0.2885,29906.71,226294.249
5,300771.SZ,20200221,76.0,78.05,75.6,76.25,76.8,-0.55,-0.7161,27287.0,209264.192
6,300771.SZ,20200220,77.0,77.7,75.3,76.8,77.0,-0.2,-0.2597,24150.7,185085.768
7,300771.SZ,20200219,78.94,79.9,77.0,77.0,78.53,-1.53,-1.9483,24492.17,191583.558
8,300771.SZ,20200218,80.4,80.4,76.66,78.53,81.46,-2.93,-3.5969,32955.27,259035.793
9,300771.SZ,20200217,78.0,83.38,77.7,81.46,78.54,2.92,3.7179,38330.19,306942.57
10,300771.SZ,20200214,76.36,80.64,75.88,78.54,76.45,2.09,2.7338,36227.25,282936.423
11,300771.SZ,20200213,78.41,78.99,75.66,76.45,80.0,-3.55,-4.4375,41995.51,326318.601
12,300771.SZ,20200212,74.0,80.88,74.0,80.0,77.2,2.8,3.6269,67301.33,522132.495
13,300771.SZ,20200211,73.0,77.21,72.2,77.2,70.19,7.01,9.9872,117668.95,888194.631
14,300771.SZ,20200210,70.19,70.19,70.19,70.19,63.81,6.38,9.9984,10077.36,70732.989
15,300771.SZ,20200207,58.68,63.81,58.6,63.81,58.01,5.8,9.9983,46741.96,292355.827
16,300771.SZ,20200206,56.04,58.8,56.04,58.01,56.45,1.56,2.7635,21333.59,123260.823
17,300771.SZ,20200205,55.85,57.73,55.85,56.45,56.2,0.25,0.4448,19796.21,112354.024
18,300771.SZ,20200204,53.18,56.98,53.18,56.2,53.17,3.03,5.6987,20617.14,113971.098
19,300771.SZ,20200203,53.18,54.98,53.17,53.17,59.08,-5.91,-10.0034,18530.77,98999.034
20,300771.SZ,20200123,61.86,61.92,58.36,59.08,62.3,-3.22,-5.1685,20224.93,121818.547
21,300771.SZ,20200122,61.46,62.5,60.01,62.3,61.63,0.67,1.0871,15968.22,97929.445
22,300771.SZ,20200121,62.51,63.12,61.35,61.63,62.34,-0.71,-1.1389,15232.26,94687.415
23,300771.SZ,20200120,66.58,66.58,61.74,62.34,68.6,-6.26,-9.1254,37766.06,238074.067
24,300771.SZ,20200117,68.8,69.38,67.8,68.6,68.44,0.16,0.2338,13325.0,91236.795
25,300771.SZ,20200116,68.95,69.5,67.6,68.44,69.17,-0.73,-1.0554,12934.22,88256.981
26,300771.SZ,20200115,68.3,69.48,67.8,69.17,69.1,0.07,0.1013,16771.56,114977.736
27,300771.SZ,20200114,69.03,70.85,68.24,69.1,69.1,0.0,0.0,22024.0,153033.897
28,300771.SZ,20200113,67.5,70.16,66.36,69.1,67.18,1.92,2.858,25014.66,171571.235
29,300771.SZ,20200110,64.38,68.88,64.06,67.18,64.38,2.8,4.3492,28233.24,188774.037
30,300771.SZ,20200109,65.0,65.01,63.84,64.38,63.28,1.1,1.7383,11456.34,73666.298
31,300771.SZ,20200108,62.96,65.5,62.8,63.28,63.5,-0.22,-0.3465,17291.62,110760.735
32,300771.SZ,20200107,63.42,63.85,62.78,63.5,63.58,-0.08,-0.1258,14467.67,91397.036
33,300771.SZ,20200106,64.2,64.2,62.71,63.58,64.93,-1.35,-2.0792,21656.74,137348.978
34,300771.SZ,20200103,64.14,66.52,63.66,64.93,64.2,0.73,1.1371,25700.97,167812.772
35,300771.SZ,20200102,63.7,64.86,62.68,64.2,63.73,0.47,0.7375,18707.79,119734.99
36,300771.SZ,20191231,63.8,64.08,62.76,63.73,64.95,-1.22,-1.8784,19789.98,125444.128
37,300771.SZ,20191230,60.9,66.58,60.6,64.95,61.0,3.95,6.4754,36250.64,230370.536
38,300771.SZ,20191227,59.32,62.5,58.86,61.0,59.32,1.68,2.8321,23521.87,143342.08
39,300771.SZ,20191226,59.23,59.51,58.8,59.32,59.19,0.13,0.2196,12119.83,71659.383
40,300771.SZ,20191225,58.98,59.5,58.55,59.19,59.1,0.09,0.1523,11164.77,65767.408
41,300771.SZ,20191224,58.09,59.26,57.7,59.1,57.81,1.29,2.2314,12355.77,72285.841
42,300771.SZ,20191223,58.6,60.5,57.77,57.81,59.18,-1.37,-2.315,17163.54,101267.192
43,300771.SZ,20191220,57.85,59.97,57.85,59.18,58.04,1.14,1.9642,19531.93,115213.781
44,300771.SZ,20191219,57.16,58.15,56.94,58.04,57.37,0.67,1.1679,10461.43,60124.866
45,300771.SZ,20191218,57.19,58.13,56.93,57.37,57.19,0.18,0.3147,12468.82,71690.829
46,300771.SZ,20191217,57.4,57.64,56.8,57.19,57.4,-0.21,-0.3659,16449.81,93923.866
47,300771.SZ,20191216,54.4,57.68,54.4,57.4,54.04,3.36,6.2176,21374.88,120626.259
48,300771.SZ,20191213,53.17,54.1,53.15,54.04,53.0,1.04,1.9623,7301.48,39177.533
49,300771.SZ,20191212,53.39,53.55,52.98,53.0,53.56,-0.56,-1.0456,7073.12,37609.601
50,300771.SZ,20191211,54.43,54.5,53.53,53.56,54.54,-0.98,-1.7968,7365.57,39659.606
51,300771.SZ,20191210,54.48,54.77,53.92,54.54,54.55,-0.01,-0.0183,6400.48,34709.26
52,300771.SZ,20191209,54.8,54.95,54.2,54.55,54.78,-0.23,-0.4199,4665.75,25419.3
53,300771.SZ,20191206,54.93,55.0,53.99,54.78,54.93,-0.15,-0.2731,7155.4,39011.909
54,300771.SZ,20191205,54.27,55.1,54.27,54.93,54.43,0.5,0.9186,9159.02,50200.257
55,300771.SZ,20191204,53.98,54.63,53.8,54.43,54.18,0.25,0.4614,4744.26,25772.113
56,300771.SZ,20191203,53.53,54.2,53.35,54.18,53.94,0.24,0.4449,5706.35,30683.941
57,300771.SZ,20191202,53.96,54.1,53.65,53.94,53.9,0.04,0.0742,3886.45,20940.802
58,300771.SZ,20191129,53.55,53.98,53.23,53.9,53.79,0.11,0.2045,4304.46,23026.311
59,300771.SZ,20191128,53.49,53.79,53.11,53.79,53.51,0.28,0.5233,4975.7,26663.673
60,300771.SZ,20191127,53.23,53.65,52.54,53.51,53.23,0.28,0.526,6083.99,32362.326
61,300771.SZ,20191126,52.98,53.5,52.9,53.23,53.14,0.09,0.1694,5404.01,28744.448
62,300771.SZ,20191125,55.53,55.7,52.9,53.14,55.48,-2.34,-4.2177,14263.03,76838.328
63,300771.SZ,20191122,56.74,57.4,55.31,55.48,56.61,-1.13,-1.9961,10748.73,60245.443
64,300771.SZ,20191121,56.29,57.47,56.18,56.61,56.86,-0.25,-0.4397,7597.05,43137.317
65,300771.SZ,20191120,58.37,58.56,56.56,56.86,58.46,-1.6,-2.7369,11751.54,67643.015
66,300771.SZ,20191119,58.15,58.62,57.66,58.46,58.15,0.31,0.5331,9487.77,55235.733
67,300771.SZ,20191118,57.1,58.15,56.85,58.15,57.18,0.97,1.6964,8539.85,49201.272
68,300771.SZ,20191115,57.76,57.8,56.8,57.18,57.8,-0.62,-1.0727,8249.0,47132.017
69,300771.SZ,20191114,57.36,58.27,57.24,57.8,57.37,0.43,0.7495,9460.17,54667.671
70,300771.SZ,20191113,57.5,57.9,56.82,57.37,57.2,0.17,0.2972,11431.77,65631.94
